### LC--->noradrenaline DR--->serotonin VLPO--->GABA WR--->acetylcholin R--->acetylcholin SCN--->GABA 
time	hypnogram	LC_F	LC_C	DR_F	DR_C	VLPO_F	VLPO_C	WR_F	WR_C	R_F	R_C	SCN_F	SCN_C	homeostatic
2010	0.5	1.7548363976994856	0.08200214193973493	-0.012288183846334663	-0.004164296759712627	0.880826439624947	0.35698783813484697	1.7433802798897786	0.1805344036267054	4.470773596280439	0.6353140834960758	3.749928560206897	0.713207160002763	0.15283680274968003
2012	0.5	2.115343705369743	0.1041285176512944	-0.0225649284560303	-0.004079132231938541	0.7528659206349667	0.32851932780031334	2.258203241255478	0.2539701109838494	4.798155234867828	0.6859014402926609	3.8233678521779852	0.7177897968005335	0.1555391595704258
2014	0.5	2.4593581337099466	0.12913085845378267	-0.013832627671002254	-0.004003027196629641	0.6521138008308809	0.3002119596623362	2.7133574419821604	0.33169355306764414	4.929175940401986	0.729361664136383	3.880601146699826	0.7229109569410297	0.15823380628122652
2016	0.5	2.768335132239259	0.15616596056837373	0.014841916779657734	-0.003646009700958152	0.5582841474949133	0.2729562325808137	3.099428615900869	0.40759096538654593	4.977841797707149	0.7656348264476182	3.947260186130069	0.7283291992205969	0.1609207648798416
2018	0.5	3.0532728990060614	0.18452512594243795	0.03843667142022344	-0.002971947887658646	0.4766848084091167	0.24672664913635636	3.425783173991094	0.47830408174738803	4.996171874927934	0.7955401276043396	4.007584749146246	0.7339028553589011	0.16360005730126911
2020	0.5	3.3123209558977655	0.21363726813029132	0.10514250551360266	-0.0017007680279221744	0.4139394523499307	0.22166770669116723	3.692667341578658	0.542207077296138	4.995312679822854	0.8200966605254058	4.0458540945631185	0.7394238130268119	0.16627170541792322
2022	0.5	3.5749744538228576	0.24318865688235206	0.23161270926515262	0.0009659258349869332	0.33597288788601865	0.19841084919656501	3.921012147918266	0.5987005791706422	4.995348109507979	0.8401936380521103	4.089370362866702	0.7447621605791782	0.1689357310398145
2024	0.5	3.8025809591302746	0.2728293592118507	0.4437595935014222	0.006006335189447596	0.28477098056042205	0.1761700058739795	4.1168816965973	0.6483306222815164	4.9885645811803006	0.856643145523617	4.127151034684172	0.7498748571410053	0.17159215591472668
2026	0.5	4.027722516160914	0.30222217649299526	0.701705470106113	0.014368330693644852	0.23647115030959162	0.15592865238691153	4.273608848682728	0.6913361965512045	5.004025714640726	0.870136673723956	4.166743240425629	0.7547765868801454	0.17424100172839532
2028	0.5	4.231075369428649	0.3311664580003806	0.9879642890086652	0.026145094001528594	0.18877015795559768	0.1372792659344208	4.405101825946926	0.7283627080725587	4.991735547242646	0.8811557019246705	4.201668618767771	0.7593968068000477	0.17688229010468418
2030	1	4.401243090867547	0.3594322394806296	1.2987117403424346	0.04142219887636707	0.1445927702206674	0.11988840006004133	4.526420582385436	0.7601276965813587	5.003997830268205	0.8902025822515085	4.233801308621821	0.7637492301986201	0.1795160426057618
2032	1	4.575034106710073	0.3867907265167746	1.6175819885059057	0.06012206292809566	0.12742492316579057	0.10437879530906877	4.622910649422122	0.7872995854418998	4.996892430296043	0.8976572694439711	4.251445800557449	0.7677553728650675	0.18214228073227764
2034	1	4.719837236670825	0.4132171609295809	1.9187329455559756	0.08171342883919186	0.10258801488810114	0.09060865375901475	4.685989081301178	0.8103646676596369	4.989031520406419	0.9036822300748732	4.284210308053934	0.7715180208745692	0.18476102592353713
